ID;Quantidade;Unidade;Gênero Alimentício;Custo Unitário;Custo Total
1;15.482;kg;ABACATE;R$4,99;R$27.355,18
2;17.251;kg;ABÓBORA JAPONESA;R$2,61;R$45.025,11
3;821;kg;ABOBRINHA ITALIANA;R$3,40;R$2.791,40
4;1.831;kg;ACELGA;R$5,01;R$9.173,31
5;944;kg;ALFACE AMERICANA;R$6,33;R$5.975,52
6;3.201;kg;ALHO;R$15,52;R$49.679,52
7;18.900;kg;BATATA DOCE;R$2,59;R$48.951,00
8;13.005;kg;BETERRABA;R$3,07;R$39.925,35
9;853;kg;BRÓCOLIS CABEÇA ÚNICA (JAPONÊS);R$6,30;R$5.373,90
10;16.001;kg;CEBOLA;R$2,85;R$45.602,85
11;3.181;kg;CEBOLINHA COMUM;R$11,71;R$37.249,51
12;13.126;kg;CENOURA;R$2,51;R$32.946,26
13;3.046;kg;CHUCHU;R$3,07;R$9.351,22
14;1.455;kg;COENTRO;R$9,33;R$13.575,15
15;980;kg;COUVE-FLOR;R$6,53;R$6.399,40
16;6.246;kg;COUVE MANTEIGA;R$5,88;R$36.726,48
17;905;kg;ESPINAFRE;R$6,00;R$5.430,00
18;15.977;kg;GOIABA;R$3,15;R$50.327,55
19;435;kg;HORTELÃ;R$10,20;R$4.437,00
20;2.845;kg;INHAME;R$4,54;R$12.916,30
21;3.622;kg;LIMÃO TAHITI;R$3,49;R$12.640,78
22;727;kg;MANJERICÃO;R$16,00;R$11.632,00
23;5.605;kg;MARACUJÁ;R$6,00;R$33.630,00
24;5.802;kg;MILHO VERDE;R$4,50;R$26.109,00
25;12.039;kg;MORANGO;R$12,50;R$150.487,50
26;4.563;kg;PEPINO COMUM;R$3,05;R$13.917,15
27;2.064;kg;PIMENTÃO VERDE;R$4,34;R$8.957,76
28;4.267;kg;REPOLHO VERDE;R$2,75;R$11.734,25
29;4.267;kg;REPOLHO ROXO;R$3,21;R$13.697,07
30;1.017;kg;SALSA;R$12,53;R$12.743,01
31;22.453;kg;TANGERINA PONKAN;R$3,55;R$79.708,15
32;3.671;kg;TOMATE;R$3,61;R$13.252,31
33;735;kg;VAGEM;R$7,20;R$5.292,00
34;68.409;kg;BANANA PRATA;R$2,84;R$194.281,56
35;6.538;kg;ABACATE;R$4,99;R$32.624,62
36;54.196;kg;ABÓBORA JAPONESA;R$2,61;R$141.451,56
37;703;kg;ABOBRINHA ITALIANA;R$3,40;R$2.390,20
38;6.396;kg;ACELGA;R$5,01;R$32.043,96
39;731;kg;ALFACE AMERICANA;R$6,33;R$4.627,23
40;10.873;kg;ALHO;R$15,52;R$168.748,96
41;62.311;kg;BATATA DOCE;R$2,59;R$161.385,49
42;41.502;kg;BETERRABA;R$3,07;R$127.411,14
43;713;kg;BRÓCOLIS CABEÇA ÚNICA(JAPONÊS);R$6,30;R$4.491,90
44;54.368;kg;CEBOLA;R$2,85;R$154.948,80
45;10.873;kg;CEBOLINHA COMUM;R$11,71;R$127.322,83
46;43.329;kg;CENOURA;R$2,51;R$108.755,79
47;2.447;kg;CHUCHU;R$3,07;R$7.512,29
48;5.315;kg;COENTRO;R$9,33;R$49.588,95
49;846;kg;COUVE-FLOR;R$6,53;R$5.524,38
50;20.929;kg;COUVE MANTEIGA;R$5,88;R$123.062,52
51;772;kg;ESPINAFRE;R$6,00;R$4.632,00
52;35.188;kg;GOIABA;R$3,15;R$110.842,20
53;1.048;kg;HORTELÃ;R$10,20;R$10.689,60
54;2.337;kg;INHAME;R$4,54;R$10.609,98
55;13.283;kg;LIMÃO TAHITI;R$3,49;R$46.357,67
56;2.658;kg;MANJERICÃO;R$16,00;R$42.528,00
57;6.612;kg;MARACUJÁ;R$6,00;R$39.672,00
58;4.108;kg;MILHO VERDE;R$4,50;R$18.486,00
59;29.934;kg;MORANGO;R$12,50;R$374.175,00
60;14.767;kg;PEPINO COMUM;R$3,05;R$45.039,35
61;7.570;kg;PIMENTÃO VERDE;R$4,34;R$32.853,80
62;14.262;kg;REPOLHO VERDE;R$2,75;R$39.220,50
63;14.262;kg;REPOLHO ROXO;R$3,21;R$45.781,02
64;2.901;kg;SALSA;R$12,53;R$36.349,53
65;67.176;kg;TANGERINA PONKAN;R$3,55;R$238.474,80
66;11.905;kg;TOMATE;R$3,61;R$42.977,05
67;634;kg;VAGEM;R$7,20;R$4.564,80
68;214.597;kg;BANANA PRATA;R$2,84;R$609.455,48
69;2.986;kg;ABACATE;R$4,99;R$14.900,14
70;32.040;kg;ABÓBORA JAPONESA;R$2,61;R$83.624,40
71;519;kg;ABOBRINHA ITALIANA;R$3,40;R$1.764,60
