nome,sigla,logradouro,lat,long,ABACATE,ABÓBORA,ABOBRINHA,ACELGA,ALFACE,ALHO,BATATA DOCE,BETERRABA,BRÓCOLIS,CEBOLA,CEBOLINHA,CENOURA,CHUCHU,COENTRO,COUVE-FLOR,COUVE,ESPINAFRE,GOIABA,HORTELÃ,INHAME,LIMÃO,MANJERICÃO,MARACUJÁ,MILHO VERDE,MORANGO,PEPINO,PIMENTÃO,REPOLHO VERDE,REPOLHO ROXO,SALSA,TANGERINA,TOMATE,VAGEM,BANANA
ASSOCIAÇÃO DE AGRICULTORES FAMILIARES DA ECO COMUNIDADE DO ASSENTAMENTO 15 DE AGOSTO,AFECA,São Sebastião,-15.9984242381336,-47.7665316077568,False,True,True,True,True,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,True,False,True,False,False
ASSOCIAÇÃO AGRÍCOLA DO DISTRITO FEDERAL E RIDE,AGRIFAM,Taguatinga,-15.8332267360471,-48.0700580104388,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
ASSOCIAÇÃO AGRÍCOLA DO DISTRITO FEDERAL E RIDE,AGRIFAM,Gama,-15.981177484441,-48.1692851340275,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
ASSOCIAÇÃO AGRÍCOLA DO DISTRITO FEDERAL E RIDE,AGRIFAM,Santa Maria,-29.7162471792051,-53.828911375588,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
"ASSOCIAÇÃO MISTA DOS AGRICULTORES FAMILIARES, ORGÂNICOS E PRODUTORES RURAIS DO DF E ENTORNO",AMISTA,Santa Maria,-29.7162471792051,-53.828911375588,True,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False,True,True,True,True,True,False,True,True,False
ASSOCIAÇÃO DOS PRODUTORES DA AGRICULTURA FAMILIAR,ASPAF,Guará,-15.8145986498828,-47.969027739316,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
ASSOCIAÇÃO DOS PRODUTORES DA AGRICULTURA FAMILIAR,ASPAF,Núcleo Bandeirante,-15.9188943361437,-47.9410831055365,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ASSOCIAÇÃO DOS PRODUTORES DA AGRICULTURA FAMILIAR,ASPAF,Plano Piloto,-15.7947354269518,-47.8916152815739,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ASSOCIAÇÃO DOS PRODUTORES RURAIS DE ALEXANDRE GUSMÃO,ASPAG,Brazlândia,-15.6514400790072,-48.1589810431124,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
ASSOCIAÇÃO DOS PRODUTORES DE HORTIGRANJEIROS DO DISTRITO FEDERAL,ASPHOR,Gama,-15.981177484441,-48.1692851340275,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False
ASSOCIAÇÃO DOS PRODUTORES DE HORTIGRANJEIROS DO DISTRITO FEDERAL,ASPHOR,Santa Maria,-29.7162471792051,-53.828911375588,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ASSOCIAÇÃO DOS PRODUTORES DE HORTIGRANJEIROS DO DISTRITO FEDERAL,ASPHOR,Plano Piloto,-15.7947354269518,-47.8916152815739,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ASSOCIAÇÃO DOS PRODUTORES RURAIS ORGÂNICOS E CONVENCIONAIS DO DISTRITO FEDERAL E ENTORNO,ASPROC,Ceilândia,-15.8290110647567,-48.2172735659416,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ASSOCIAÇÃO DOS PRODUTORES RURAIS ORGÂNICOS E CONVENCIONAIS DO DISTRITO FEDERAL E ENTORNO,ASPROC,Recanto das Emas,-15.9344205940714,-48.1381350337238,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ASSOCIAÇÃO DOS PRODUTORES RURAIS ORGÂNICOS E CONVENCIONAIS DO DISTRITO FEDERAL E ENTORNO,ASPROC,Samambaia,-15.8848211192412,-48.1613322995125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ASSOCIAÇÃO DOS PRODUTORES RURAIS ORGÂNICOS E CONVENCIONAIS DO DISTRITO FEDERAL E ENTORNO,ASPROC,Paranoá,-15.7559789365295,-47.6826449011394,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ASSOCIAÇÃO DOS PRODUTORES RURAIS ORGÂNICOS E CONVENCIONAIS DO DISTRITO FEDERAL E ENTORNO,ASPROC,Planaltina,-15.4520099138676,-47.6090123852225,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ASSOCIAÇÃO DOS PRODUTORES RURAIS NOVO HORIZONTE BETINHO,ASPRONTE,Ceilândia,-15.8290110647567,-48.2172735659416,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ASSOCIAÇÃO DOS PRODUTORES RURAIS NOVO HORIZONTE BETINHO,ASPRONTE,Recanto das Emas,-15.9344205940714,-48.1381350337238,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,False,True,False,True,True,False
ASSOCIAÇÃO DOS TRABALHADORES RURAIS DA AGRICULTURA FAMILIAR DO ASSENTAMENTO CHAPADINHA,ASTRAF,Guará,-15.8145986498828,-47.969027739316,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True
COOPERATIVA MISTA DA AGRICULTURA FAMILIAR DO MEIO AMBIENTE E DA CULTURA DO BRASIL,COOPBRASIL,Gama,-15.981177484441,-48.1692851340275,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COOPERATIVA MISTA DA AGRICULTURA FAMILIAR DO MEIO AMBIENTE E DA CULTURA DO BRASIL,COOPBRASIL,Recanto das Emas,-15.9344205940714,-48.1381350337238,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True
COOPERATIVA MISTA DA AGRICULTURA FAMILIAR DO MEIO AMBIENTE E DA CULTURA DO BRASIL,COOPBRASIL,Samambaia,-15.8848211192412,-48.1613322995125,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True
COOPERATIVA MISTA DA AGRICULTURA FAMILIAR DO MEIO AMBIENTE E DA CULTURA DO BRASIL,COOPBRASIL,Núcleo Bandeirante,-15.9188943361437,-47.9410831055365,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COOPERATIVA MISTA DA AGRICULTURA FAMILIAR DO MEIO AMBIENTE E DA CULTURA DO BRASIL,COOPBRASIL,Planaltina,-15.4520099138676,-47.6090123852225,False,False,False,True,True,True,False,False,False,True,True,False,True,True,True,False,True,False,True,True,False,True,False,True,True,False,True,False,False,True,False,True,True,True
COOPERATIVA MISTA DA AGRICULTURA FAMILIAR DO MEIO AMBIENTE E DA CULTURA DO BRASIL,COOPBRASIL,Brazlândia,-15.6514400790072,-48.1589810431124,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COOPERATIVA MISTA DA AGRICULTURA FAMILIAR DO MEIO AMBIENTE E DA CULTURA DO BRASIL,COOPBRASIL,Ceilândia,-15.8290110647567,-48.2172735659416,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
COOPERATIVA AGRÍCOLA BURITI VERMELHO,COOPER‑HORTI,Paranoá,-15.7559789365295,-47.6826449011394,True,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,True,False,True,False,False,True,True,True,False,False,True,False,False,False
COOPERATIVA DOS PRODUTORES RURAIS DE PLANALTINA DE GOIÁS E REGIÃO,PRORURAL,Plano Piloto,-15.7947354269518,-47.8916152815739,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True
COOPERATIVA DOS PRODUTORES RURAIS DE PLANALTINA DE GOIÁS E REGIÃO,PRORURAL,Paranoá,-15.7559789365295,-47.6826449011394,False,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,True,True,True,False,False,True,False,True,False,False,False,False,True,True,False,True,True,True
COOPERATIVA AGROPECUÁRIA DA REGIÃO DE BRAZLÂNDIA,COOPEBRAZ,Brazlândia,-15.6514400790072,-48.1589810431124,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
COOPERATIVA AGROPECUÁRIA DA REGIÃO DE BRAZLÂNDIA,COOPEBRAZ,Taguatinga,-15.8332267360471,-48.0700580104388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
