Vegetable ID,Name,Scientific Name,Category,Color,Season,Origin,Nutritional Value (per 100g),Price (per kg),Availability,Shelf Life (days),Storage Requirements,Growing Conditions,Health Benefits,Common Varieties,Description
1,Carrot,Daucus carota,Root,Orange,Winter,Middle East,"41 kcal, 0.9g protein, 2.8g fiber",$1.50,Year-round,30,Refrigeration,"Well-drained soil, full sunlight","Improves vision, rich in Vitamin A","Nantes, Imperator, Chantenay","Carrot is a orange root vegetable, originally from Middle East. It's commonly available in winter and offers health benefits such as improves vision, rich in vitamin a."
2,Spinach,Spinacia oleracea,Leafy,Green,Spring/Fall,Central Asia,"23 kcal, 2.9g protein, 2.2g fiber",$2.00,Year-round,7,Refrigeration,"Moist soil, partial shade","High in iron, good for bone health","Savoy, Flat-leaf, Semi-savoy","Spinach is a green leafy vegetable, originally from Central Asia. It's commonly available in spring/fall and offers health benefits such as high in iron, good for bone health."
3,Tomato,Solanum lycopersicum,Fruit,Red,Summer,South America,"18 kcal, 0.9g protein, 1.2g fiber",$3.00,Seasonal,7,"Cool, dry place","Well-drained soil, full sunlight","Rich in antioxidants, supports heart health","Roma, Cherry, Beefsteak","Tomato is a red fruit vegetable, originally from South America. It's commonly available in summer and offers health benefits such as rich in antioxidants, supports heart health."
4,Broccoli,Brassica oleracea,Flower,Green,Fall/Winter,Mediterranean,"34 kcal, 2.8g protein, 2.6g fiber",$2.50,Year-round,10,Refrigeration,"Cool climate, well-drained soil","Boosts immune system, rich in Vitamin C","Calabrese, Sprouting, Romanesco","Broccoli is a green flower vegetable, originally from Mediterranean. It's commonly available in fall/winter and offers health benefits such as boosts immune system, rich in vitamin c."
5,Potato,Solanum tuberosum,Tuber,Brown,Fall,South America,"77 kcal, 2g protein, 2.2g fiber",$1.20,Year-round,60,"Cool, dark place","Loose soil, moderate watering","Provides energy, good source of potassium","Russet, Yukon Gold, Red","Potato is a brown tuber vegetable, originally from South America. It's commonly available in fall and offers health benefits such as provides energy, good source of potassium."
6,Bell Pepper,Capsicum annuum,Fruit,"Red, Green, Yellow",Summer,Central America,"31 kcal, 1g protein, 2.1g fiber",$3.50,Year-round,10,Refrigeration,"Warm climate, full sunlight","Rich in Vitamin C, supports immune system","Green, Red, Yellow, Orange","Bell Pepper is a red, green, yellow fruit vegetable, originally from Central America. It's commonly available in summer and offers health benefits such as rich in vitamin c, supports immune system."
7,Kale,Brassica oleracea var. sabellica,Leafy,Dark Green,Fall/Winter,Europe,"49 kcal, 4.3g protein, 2g fiber",$5.00,Year-round,7,Refrigeration,"Cool climate, rich soil","High in antioxidants, promotes heart health","Curly, Lacinato, Red Russian","Kale is a dark green leafy vegetable, originally from Europe. It's commonly available in fall/winter and offers health benefits such as high in antioxidants, promotes heart health."
8,Eggplant,Solanum melongena,Fruit,Purple,Summer,India,"25 kcal, 1g protein, 3g fiber",$2.20,Year-round,7,"Cool, dry place","Warm climate, well-drained soil","Supports brain health, high in fiber","Black Beauty, Japanese, Graffiti","Eggplant is a purple fruit vegetable, originally from India. It's commonly available in summer and offers health benefits such as supports brain health, high in fiber."
9,Zucchini,Cucurbita pepo,Fruit,Green,Summer,Central America,"17 kcal, 1.2g protein, 1g fiber",$1.80,Seasonal,5,Refrigeration,"Warm climate, well-drained soil","Low in calories, supports digestion","Black Zucchini, Round, Yellow","Zucchini is a green fruit vegetable, originally from Central America. It's commonly available in summer and offers health benefits such as low in calories, supports digestion."
10,Cauliflower,Brassica oleracea var. botrytis,Flower,White,Fall/Winter,Mediterranean,"25 kcal, 1.9g protein, 2g fiber",$3.00,Year-round,10,Refrigeration,"Cool climate, rich soil","Rich in fiber, supports digestive health","White, Purple, Romanesco","Cauliflower is a white flower vegetable, originally from Mediterranean. It's commonly available in fall/winter and offers health benefits such as rich in fiber, supports digestive health."
